date,state_normalized,district_cleaned,demo_age_5_17,demo_age_17_
01-03-2025,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,34,572
01-03-2025,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,35,156
01-03-2025,DELHI,Central Delhi,1049,12943
01-03-2025,DELHI,East Delhi,1926,16285
01-03-2025,DELHI,New Delhi,252,1390
01-03-2025,DELHI,North Delhi,965,11456
01-03-2025,DELHI,North East,23,2908
01-03-2025,DELHI,North East Delhi,2275,15592
01-03-2025,DELHI,North West Delhi,6373,62825
01-03-2025,DELHI,Shahdara,660,4206
01-03-2025,DELHI,South Delhi,2881,36563
01-03-2025,DELHI,South West Delhi,3502,32761
01-03-2025,DELHI,West Delhi,4328,45156
01-03-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,49,593
01-03-2025,Daman and Diu,Daman,18,186
01-03-2025,GOA,North Goa,653,3568
01-03-2025,GOA,South Goa,570,2780
01-03-2025,GUJARAT,Ahmedabad,9162,55255
01-03-2025,GUJARAT,Amreli,1128,7235
01-03-2025,GUJARAT,Anand,1001,11416
01-03-2025,GUJARAT,Arvalli,740,1351
01-03-2025,GUJARAT,Banaskantha,2962,12676
01-03-2025,GUJARAT,Bharuch,2761,13952
01-03-2025,GUJARAT,Bhavnagar,2409,14481
01-03-2025,GUJARAT,Botad,721,1931
01-03-2025,GUJARAT,Chhotaudepur,740,2493
01-03-2025,GUJARAT,Dahod,2071,11658
01-03-2025,GUJARAT,Devbhumi Dwarka,167,1511
01-03-2025,GUJARAT,Dohad,42,920
01-03-2025,GUJARAT,Gandhinagar,1801,12352
01-03-2025,GUJARAT,Gir Somnath,933,2191
01-03-2025,GUJARAT,Jamnagar,1436,11597
01-03-2025,GUJARAT,Junagadh,1663,9295
01-03-2025,GUJARAT,Kachchh,2113,10502
01-03-2025,GUJARAT,Kheda,3116,17120
01-03-2025,GUJARAT,Mahesana,2590,12569
01-03-2025,GUJARAT,Mahisagar,238,1710
01-03-2025,GUJARAT,Morbi,552,2353
01-03-2025,GUJARAT,Narmada,955,3082
01-03-2025,GUJARAT,Navsari,2844,8310
01-03-2025,GUJARAT,Panchmahals,878,6690
01-03-2025,GUJARAT,Patan,988,6330
01-03-2025,GUJARAT,Porbandar,829,3297
01-03-2025,GUJARAT,Rajkot,2099,22508
01-03-2025,GUJARAT,Sabarkantha,2777,10632
01-03-2025,GUJARAT,Surat,7172,56297
01-03-2025,GUJARAT,Surendra Nagar,1653,12061
01-03-2025,GUJARAT,Tapi,1115,3072
01-03-2025,GUJARAT,The Dangs,484,1400
01-03-2025,GUJARAT,Vadodara,3492,27140
01-03-2025,GUJARAT,Valsad,3409,11950
01-03-2025,HARYANA,Ambala,516,4084
01-03-2025,HARYANA,Bhiwani,601,5350
01-03-2025,HARYANA,Charkhi Dadri,312,2114
01-03-2025,HARYANA,Faridabad,2675,21482
01-03-2025,HARYANA,Fatehabad,802,7118
01-03-2025,HARYANA,Gurgaon,2270,19163
01-03-2025,HARYANA,Hisar,1003,9821
01-03-2025,HARYANA,Jhajjar,808,5900
01-03-2025,HARYANA,Jind,673,5955
01-03-2025,HARYANA,Kaithal,969,8135
01-03-2025,HARYANA,Karnal,1203,9116
01-03-2025,HARYANA,Kurukshetra,636,4982
01-03-2025,HARYANA,Mahendragarh,478,4766
01-03-2025,HARYANA,Mewat,814,7691
01-03-2025,HARYANA,Palwal,1067,9937
01-03-2025,HARYANA,Panchkula,1000,5478
01-03-2025,HARYANA,Panipat,393,2836
01-03-2025,HARYANA,Rewari,903,5174
01-03-2025,HARYANA,Rohtak,577,3477
01-03-2025,HARYANA,Sirsa,669,7127
01-03-2025,HARYANA,Sonipat,1089,8791
01-03-2025,HARYANA,Yamuna Nagar,1085,8223
01-03-2025,HIMACHAL PRADESH,Bilaspur,136,885
01-03-2025,HIMACHAL PRADESH,Chamba,1006,3938
01-03-2025,HIMACHAL PRADESH,Hamirpur,103,756
01-03-2025,HIMACHAL PRADESH,Kangra,960,7812
01-03-2025,HIMACHAL PRADESH,Kullu,273,1431
01-03-2025,HIMACHAL PRADESH,Mandi,730,3372
01-03-2025,HIMACHAL PRADESH,Shimla,378,2808
01-03-2025,HIMACHAL PRADESH,Sirmaur,729,3559
01-03-2025,HIMACHAL PRADESH,Solan,251,1577
01-03-2025,HIMACHAL PRADESH,Una,121,976
01-03-2025,JAMMU AND KASHMIR,Anantnag,1210,7828
01-03-2025,JAMMU AND KASHMIR,Badgam,325,3926
01-03-2025,JAMMU AND KASHMIR,Bandipore,369,2119
01-03-2025,JAMMU AND KASHMIR,Baramula,1033,5263
01-03-2025,JAMMU AND KASHMIR,Budgam,1603,3792
01-03-2025,JAMMU AND KASHMIR,Doda,264,2181
01-03-2025,JAMMU AND KASHMIR,Ganderbal,179,1123
01-03-2025,JAMMU AND KASHMIR,Jammu,858,9258
01-03-2025,JAMMU AND KASHMIR,Kargil,82,354
01-03-2025,JAMMU AND KASHMIR,Kathua,407,4528
01-03-2025,JAMMU AND KASHMIR,Kulgam,462,2414
01-03-2025,JAMMU AND KASHMIR,Kupwara,1260,6342
01-03-2025,JAMMU AND KASHMIR,Leh,72,294
01-03-2025,JAMMU AND KASHMIR,Pulwama,559,3044
01-03-2025,JAMMU AND KASHMIR,Punch,767,5067
01-03-2025,JAMMU AND KASHMIR,Rajouri,687,3575
01-03-2025,JAMMU AND KASHMIR,Ramban,397,1482
01-03-2025,JAMMU AND KASHMIR,Reasi,458,2926
01-03-2025,JAMMU AND KASHMIR,Samba,107,948
01-03-2025,JAMMU AND KASHMIR,Shupiyan,417,1491
01-03-2025,JAMMU AND KASHMIR,Srinagar,793,7017
01-03-2025,JAMMU AND KASHMIR,Udhampur,379,4584
01-03-2025,JHARKHAND,Bokaro,696,30424
01-03-2025,JHARKHAND,Chatra,771,15350
01-03-2025,JHARKHAND,Deoghar,839,25753
01-03-2025,JHARKHAND,Dhanbad,1576,51451
01-03-2025,JHARKHAND,Dumka,1035,23577
01-03-2025,JHARKHAND,East Singhbhum,1142,20118
01-03-2025,JHARKHAND,Garhwa,422,9519
01-03-2025,JHARKHAND,Giridih,2465,65203
01-03-2025,JHARKHAND,Godda,702,17494
01-03-2025,JHARKHAND,Gumla,502,10116
01-03-2025,JHARKHAND,Hazaribag,44,3434
01-03-2025,JHARKHAND,Hazaribagh,1426,27417
01-03-2025,JHARKHAND,Jamtara,318,11822
01-03-2025,JHARKHAND,Khunti,371,7375
01-03-2025,JHARKHAND,Kodarma,12,551
01-03-2025,JHARKHAND,Koderma,324,12209
01-03-2025,JHARKHAND,Latehar,627,12455
01-03-2025,JHARKHAND,Lohardaga,311,6001
01-03-2025,JHARKHAND,Pakaur,46,1333
01-03-2025,JHARKHAND,Pakur,1025,22716
01-03-2025,JHARKHAND,Palamau,17,1321
01-03-2025,JHARKHAND,Palamu,2722,52336
01-03-2025,JHARKHAND,Pashchimi Singhbhum,40,2616
01-03-2025,JHARKHAND,Ramgarh,625,14401
01-03-2025,JHARKHAND,Ranchi,2195,35596
01-03-2025,JHARKHAND,Sahebganj,1040,22324
01-03-2025,JHARKHAND,Sahibganj,13,662
01-03-2025,JHARKHAND,Seraikela-Kharsawan,418,8451
01-03-2025,JHARKHAND,Simdega,458,8904
01-03-2025,JHARKHAND,West Singhbhum,771,14735
01-03-2025,KARNATAKA,Bagalkot,6710,9754
01-03-2025,KARNATAKA,Bagalkot *,24,87
01-03-2025,KARNATAKA,Ballari,1424,5310
01-03-2025,KARNATAKA,Bangalore,756,8034
01-03-2025,KARNATAKA,Bangalore Rural,492,5093
01-03-2025,KARNATAKA,Belagavi,6504,11546
01-03-2025,KARNATAKA,Belgaum,6671,12317
01-03-2025,KARNATAKA,Bellary,1163,5712
01-03-2025,KARNATAKA,Bengaluru,7330,50407
01-03-2025,KARNATAKA,Bidar,1812,10301
01-03-2025,KARNATAKA,Bijapur,2894,6420
01-03-2025,KARNATAKA,Chamrajanagar,954,3983
01-03-2025,KARNATAKA,Chamrajnagar,28,24
01-03-2025,KARNATAKA,Chickmagalur,181,1449
01-03-2025,KARNATAKA,Chikkaballapur,1083,7919
01-03-2025,KARNATAKA,Chikkamagaluru,588,2431
01-03-2025,KARNATAKA,Chitradurga,1400,9013
01-03-2025,KARNATAKA,Dakshina Kannada,2446,14069
01-03-2025,KARNATAKA,Davanagere,58,272
01-03-2025,KARNATAKA,Davangere,1520,5814
01-03-2025,KARNATAKA,Dharwad,4738,9235
01-03-2025,KARNATAKA,Gadag,3851,5201
01-03-2025,KARNATAKA,Gadag *,53,85
01-03-2025,KARNATAKA,Gulbarga,524,3348
01-03-2025,KARNATAKA,Hasan,25,166
01-03-2025,KARNATAKA,Hassan,1467,6522
01-03-2025,KARNATAKA,Haveri,6278,6725
01-03-2025,KARNATAKA,Haveri *,88,192
01-03-2025,KARNATAKA,Kalaburagi,1892,6192
01-03-2025,KARNATAKA,Kodagu,299,2302
01-03-2025,KARNATAKA,Kolar,1094,8671
01-03-2025,KARNATAKA,Koppal,1920,7737
01-03-2025,KARNATAKA,Mandya,1103,9607
01-03-2025,KARNATAKA,Mysore,317,2686
01-03-2025,KARNATAKA,Mysuru,1308,7910
01-03-2025,KARNATAKA,Raichur,1203,7460
01-03-2025,KARNATAKA,Ramanagar,966,7350
01-03-2025,KARNATAKA,Shimoga,309,2224
01-03-2025,KARNATAKA,Shivamogga,1894,6956
01-03-2025,KARNATAKA,Tumakuru,1286,6218
01-03-2025,KARNATAKA,Tumkur,883,5608
01-03-2025,KARNATAKA,Udupi,1135,6735
01-03-2025,KARNATAKA,Uttara Kannada,1738,7666
01-03-2025,KARNATAKA,Vijayanagara,859,3421
01-03-2025,KARNATAKA,Vijayapura,4662,5395
01-03-2025,KARNATAKA,Yadgir,2116,7682
01-03-2025,KERALA,Alappuzha,206,2629
01-03-2025,KERALA,Ernakulam,926,9472
01-03-2025,KERALA,Idukki,129,1430
01-03-2025,KERALA,Kannur,700,6329
01-03-2025,KERALA,Kasaragod,540,4127
01-03-2025,KERALA,Kollam,621,5923
01-03-2025,KERALA,Kottayam,87,953
01-03-2025,KERALA,Kozhikode,1741,15244
01-03-2025,KERALA,Malappuram,1981,21196
01-03-2025,KERALA,Palakkad,532,5546
01-03-2025,KERALA,Pathanamthitta,63,573
01-03-2025,KERALA,Thiruvananthapuram,888,8851
01-03-2025,KERALA,Thrissur,586,4978
01-03-2025,KERALA,Wayanad,410,4189
01-03-2025,LADAKH,Kargil,309,637
01-03-2025,LADAKH,Leh,440,1180
01-03-2025,MADHYA PRADESH,Agar Malwa,200,1966
01-03-2025,MADHYA PRADESH,Alirajpur,504,6836
01-03-2025,MADHYA PRADESH,Anuppur,353,3860
01-03-2025,MADHYA PRADESH,Ashok Nagar,767,7226
01-03-2025,MADHYA PRADESH,Balaghat,2745,17133
01-03-2025,MADHYA PRADESH,Barwani,1605,12675
01-03-2025,MADHYA PRADESH,Betul,1826,9784
01-03-2025,MADHYA PRADESH,Bhind,1482,13377
01-03-2025,MADHYA PRADESH,Bhopal,1844,15489
01-03-2025,MADHYA PRADESH,Burhanpur,753,3189
01-03-2025,MADHYA PRADESH,Chhatarpur,2585,21358
01-03-2025,MADHYA PRADESH,Chhindwara,2400,11513
01-03-2025,MADHYA PRADESH,Damoh,929,10846
01-03-2025,MADHYA PRADESH,Datia,913,7399
01-03-2025,MADHYA PRADESH,Dewas,1095,12830
01-03-2025,MADHYA PRADESH,Dhar,2248,14409
01-03-2025,MADHYA PRADESH,Dindori,676,6609
01-03-2025,MADHYA PRADESH,East Nimar,381,2508
01-03-2025,MADHYA PRADESH,Guna,688,10221
01-03-2025,MADHYA PRADESH,Gwalior,2014,15266
01-03-2025,MADHYA PRADESH,Harda,400,1895
01-03-2025,MADHYA PRADESH,Harda *,74,692
01-03-2025,MADHYA PRADESH,Hoshangabad,359,1994
01-03-2025,MADHYA PRADESH,Indore,3265,22947
01-03-2025,MADHYA PRADESH,Jabalpur,1578,19130
01-03-2025,MADHYA PRADESH,Jhabua,870,11823
01-03-2025,MADHYA PRADESH,Katni,967,10714
01-03-2025,MADHYA PRADESH,Khandwa,1775,3894
01-03-2025,MADHYA PRADESH,Khargone,1713,10477
01-03-2025,MADHYA PRADESH,Maihar,79,923
01-03-2025,MADHYA PRADESH,Mandla,1352,8364
01-03-2025,MADHYA PRADESH,Mandsaur,3894,14326
01-03-2025,MADHYA PRADESH,Mauganj,48,920
01-03-2025,MADHYA PRADESH,Morena,2789,29633
01-03-2025,MADHYA PRADESH,Narmadapuram,90,799
01-03-2025,MADHYA PRADESH,Narsimhapur,32,502
01-03-2025,MADHYA PRADESH,Narsinghpur,747,5150
01-03-2025,MADHYA PRADESH,Neemuch,949,6505
01-03-2025,MADHYA PRADESH,Niwari,71,473
01-03-2025,MADHYA PRADESH,Panna,673,10956
01-03-2025,MADHYA PRADESH,Raisen,1156,8260
01-03-2025,MADHYA PRADESH,Rajgarh,2106,10399
01-03-2025,MADHYA PRADESH,Ratlam,1486,15805
01-03-2025,MADHYA PRADESH,Rewa,1868,18520
01-03-2025,MADHYA PRADESH,Sagar,1128,16281
01-03-2025,MADHYA PRADESH,Satna,2019,19467
01-03-2025,MADHYA PRADESH,Sehore,805,4280
01-03-2025,MADHYA PRADESH,Seoni,2012,18208
01-03-2025,MADHYA PRADESH,Shahdol,971,13170
01-03-2025,MADHYA PRADESH,Shajapur,731,5170
01-03-2025,MADHYA PRADESH,Sheopur,822,7501
01-03-2025,MADHYA PRADESH,Shivpuri,2480,23237
01-03-2025,MADHYA PRADESH,Sidhi,1155,13579
01-03-2025,MADHYA PRADESH,Singrauli,925,7434
01-03-2025,MADHYA PRADESH,Tikamgarh,2254,13150
01-03-2025,MADHYA PRADESH,Ujjain,2175,15113
01-03-2025,MADHYA PRADESH,Umaria,646,8332
01-03-2025,MADHYA PRADESH,Vidisha,1146,5752
01-03-2025,MADHYA PRADESH,West Nimar,22,43
01-03-2025,MAHARASHTRA,Ahmadnagar,1274,27685
01-03-2025,MAHARASHTRA,Akola,556,9714
01-03-2025,MAHARASHTRA,Amravati,1169,13166
01-03-2025,MAHARASHTRA,Aurangabad,1241,20315
01-03-2025,MAHARASHTRA,Beed,1133,27733
01-03-2025,MAHARASHTRA,Bhandara,268,5318
01-03-2025,MAHARASHTRA,Buldhana,872,12410
01-03-2025,MAHARASHTRA,Chandrapur,355,8933
01-03-2025,MAHARASHTRA,Chatrapati Sambhaji Nagar,176,2120
01-03-2025,MAHARASHTRA,Chhatrapati Sambhajinagar,208,1559
01-03-2025,MAHARASHTRA,Dharashiv,22,141
01-03-2025,MAHARASHTRA,Dhule,454,6315
01-03-2025,MAHARASHTRA,Gadchiroli,222,3588
01-03-2025,MAHARASHTRA,Gondiya,415,4676
01-03-2025,MAHARASHTRA,Hingoli,390,10091
01-03-2025,MAHARASHTRA,Jalgaon,1160,16617
01-03-2025,MAHARASHTRA,Jalna,927,11590
01-03-2025,MAHARASHTRA,Kolhapur,868,15179
01-03-2025,MAHARASHTRA,Latur,877,18154
01-03-2025,MAHARASHTRA,Mumbai,1278,23195
01-03-2025,MAHARASHTRA,Mumbai City,984,10942
01-03-2025,MAHARASHTRA,Mumbai Suburban,4058,39957
01-03-2025,MAHARASHTRA,Nagpur,2249,25703
01-03-2025,MAHARASHTRA,Nanded,1084,22465
01-03-2025,MAHARASHTRA,Nandurbar,479,4372
01-03-2025,MAHARASHTRA,Nashik,2083,31017
01-03-2025,MAHARASHTRA,Osmanabad,614,15327
01-03-2025,MAHARASHTRA,Palghar,1624,23551
01-03-2025,MAHARASHTRA,Parbhani,723,13719
01-03-2025,MAHARASHTRA,Pune,5781,74631
01-03-2025,MAHARASHTRA,Raigad,431,4268
01-03-2025,MAHARASHTRA,Raigarh,954,9301
01-03-2025,MAHARASHTRA,Ratnagiri,188,3524
01-03-2025,MAHARASHTRA,Sangli,271,6281
01-03-2025,MAHARASHTRA,Satara,529,10238
01-03-2025,MAHARASHTRA,Sindhudurg,125,2000
01-03-2025,MAHARASHTRA,Solapur,1562,31965
01-03-2025,MAHARASHTRA,Thane,6005,69162
01-03-2025,MAHARASHTRA,Wardha,564,4601
01-03-2025,MAHARASHTRA,Washim,239,3843
01-03-2025,MAHARASHTRA,Yavatmal,1238,21186
01-03-2025,MANIPUR,Bishnupur,532,4147
01-03-2025,MANIPUR,Chandel,265,1347
01-03-2025,MANIPUR,Churachandpur,1006,3708
01-03-2025,MANIPUR,Imphal East,353,2547
01-03-2025,MANIPUR,Imphal West,694,5271
01-03-2025,MANIPUR,Jiribam,11,222
01-03-2025,MANIPUR,Senapati,605,3069
01-03-2025,MANIPUR,Tamenglong,231,1505
01-03-2025,MANIPUR,Thoubal,702,3603
01-03-2025,MANIPUR,Ukhrul,176,1752
01-03-2025,MEGHALAYA,East Garo Hills,80,3072
01-03-2025,MEGHALAYA,East Jaintia Hills,173,1169
01-03-2025,MEGHALAYA,East Khasi Hills,669,5210
01-03-2025,MEGHALAYA,North Garo Hills,48,1432
01-03-2025,MEGHALAYA,Ri Bhoi,331,3073
01-03-2025,MEGHALAYA,South Garo Hills,85,2130
01-03-2025,MEGHALAYA,South West Garo Hills,106,3395
01-03-2025,MEGHALAYA,South West Khasi Hills,368,2872
01-03-2025,MEGHALAYA,West Garo Hills,287,5326
01-03-2025,MEGHALAYA,West Jaintia Hills,493,3436
01-03-2025,MEGHALAYA,West Khasi Hills,586,4691
01-03-2025,MIZORAM,Aizawl,744,5276
01-03-2025,MIZORAM,Champhai,136,1824
01-03-2025,MIZORAM,Kolasib,103,690
01-03-2025,MIZORAM,Lawngtlai,39,461
01-03-2025,MIZORAM,Lunglei,693,3783
01-03-2025,MIZORAM,Mamit,159,737
01-03-2025,MIZORAM,Mammit,13,162
01-03-2025,MIZORAM,Saiha,107,706
01-03-2025,MIZORAM,Serchhip,211,1153
01-03-2025,NAGALAND,Chumukedima,62,447
01-03-2025,NAGALAND,Dimapur,256,2014
01-03-2025,NAGALAND,Kiphire,60,682
01-03-2025,NAGALAND,Kohima,48,896
01-03-2025,NAGALAND,Mokokchung,38,782
01-03-2025,NAGALAND,Mon,162,1192
