state_normalized,district_cleaned,enrol_child,enrol_youth,enrol_adult,demo_child,demo_youth,demo_adult,bio_child,bio_youth,bio_adult,total_enrolment,total_updates,update_intensity,youth_pressure,adult_pressure,biometric_ratio,upi,pressure_level
ANDHRA PRADESH,Kakinada,858,84,27,0,3621,24648,0,7141,4557,969,39967,41.20309278,0.269265412,0.730709568,0.292684147,0.289455624,MODERATE
ANDHRA PRADESH,Karim Nagar,71,11,0,0,82,1069,0,387,1310,82,2848,34.31325301,0.164619165,0.835029835,0.595647596,0.316769232,MODERATE
ANDHRA PRADESH,Karimnagar,552,107,0,0,967,9364,0,4338,12789,659,27458,41.6030303,0.19319713,0.806766452,0.623729925,0.339074704,MODERATE
ANDHRA PRADESH,Khammam,869,264,0,0,4648,27720,0,15536,25422,1133,73326,64.66137566,0.275260136,0.724726226,0.558566422,0.373101162,MODERATE
ANDHRA PRADESH,Krishna,6163,540,34,0,13459,98390,0,146788,86459,6737,345096,51.21638468,0.464353501,0.535643602,0.675888229,0.444053422,MODERATE
ANDHRA PRADESH,Kurnool,10923,823,24,0,29378,148267,0,242992,107641,11770,528278,44.8796194,0.515579836,0.484418271,0.663726932,0.450933536,MODERATE
ANDHRA PRADESH,Mahabub Nagar,1079,432,0,0,444,12369,0,822,13030,1511,26665,17.63558201,0.047476187,0.952486312,0.519462987,0.247194043,LOW
ANDHRA PRADESH,Mahabubnagar,7,0,0,0,13,68,0,39,81,7,201,25.125,0.257425743,0.737623762,0.594059406,0.335545052,MODERATE
ANDHRA PRADESH,Mahbubnagar,511,211,0,0,1254,8643,0,3060,11679,722,24636,34.0746888,0.175102488,0.824856923,0.59824654,0.320379853,MODERATE
ANDHRA PRADESH,Medak,1176,229,1,0,1711,11252,0,6281,16164,1406,35408,25.16560057,0.225705329,0.774266429,0.633878392,0.335014586,MODERATE
ANDHRA PRADESH,N. T. R,790,97,46,0,4718,33352,0,6788,6771,933,51629,55.27730193,0.222854929,0.777125702,0.262618633,0.282483601,MODERATE
ANDHRA PRADESH,Nalgonda,951,216,0,0,1623,28221,0,5640,27013,1167,62497,53.50770548,0.116211719,0.883772281,0.522464719,0.304828769,MODERATE
ANDHRA PRADESH,Nandyal,860,39,6,0,4798,22587,0,6337,4303,905,38025,41.97019868,0.292825961,0.707147741,0.279808552,0.294682279,MODERATE
ANDHRA PRADESH,Nellore,4611,754,2,0,7111,61012,0,99065,59412,5367,226600,42.21311475,0.468559274,0.531436313,0.699365846,0.441557724,MODERATE
ANDHRA PRADESH,Nizamabad,453,71,0,0,728,4813,0,3452,7527,524,16520,31.46666667,0.253011319,0.746928152,0.664548151,0.356476313,MODERATE
ANDHRA PRADESH,Palnadu,759,76,25,0,3955,21540,0,6007,4046,860,35548,41.28687573,0.280232918,0.719738952,0.282792765,0.290759631,MODERATE
ANDHRA PRADESH,Parvathipuram Manyam,464,36,8,0,1511,7880,0,5090,5540,508,20021,39.33398821,0.329687344,0.670262711,0.530915992,0.358667432,MODERATE
ANDHRA PRADESH,Prakasam,6405,1157,61,0,15519,104979,0,136533,75766,7623,332797,43.65123295,0.456889765,0.54310723,0.637921502,0.425869333,MODERATE
ANDHRA PRADESH,Rangareddi,1478,405,0,0,3569,18676,0,13261,41326,1883,76832,40.78131635,0.219046503,0.780940481,0.710462952,0.365327745,MODERATE
ANDHRA PRADESH,Spsr Nellore,1167,713,303,0,0,0,0,0,0,2183,0,0,0,0,0,0,LOW
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,689,622,303,0,3045,19020,0,6668,3467,1614,32200,19.9380805,0.301636595,0.69833235,0.314741778,0.283165997,MODERATE
ANDHRA PRADESH,Sri Sathya Sai,879,40,19,0,3953,18154,0,5704,4711,938,32522,34.63471778,0.296928328,0.703040925,0.320234911,0.297539484,MODERATE
ANDHRA PRADESH,Srikakulam,4157,135,8,0,24315,111384,0,125178,67429,4300,328306,76.33248082,0.45534515,0.544651805,0.586667357,0.446642975,MODERATE
ANDHRA PRADESH,Tirupati,802,689,228,0,4768,28462,0,5633,4765,1719,43628,25.36511628,0.238396479,0.7615806,0.238327718,0.252191511,MODERATE
ANDHRA PRADESH,Visakhapatanam,186,28,12,0,0,0,0,0,0,226,0,0,0,0,0,0,LOW
ANDHRA PRADESH,Visakhapatnam,7688,460,30,0,19864,137329,0,195385,115918,8178,468496,57.28035212,0.459445845,0.540552021,0.664471704,0.44605838,MODERATE
ANDHRA PRADESH,Vizianagaram,3695,158,3,0,11069,67818,0,101296,58702,3856,238885,61.93544205,0.470370804,0.529625009,0.669767169,0.455236302,MODERATE
ANDHRA PRADESH,Warangal,858,201,0,0,3605,31161,0,13746,38012,1059,86524,81.62641509,0.200531638,0.799456804,0.598185496,0.375556832,MODERATE
ANDHRA PRADESH,West Godavari,5568,343,24,0,14258,112548,0,139979,80435,5935,347220,58.49393531,0.444204124,0.555792996,0.634794554,0.436023625,MODERATE
ANDHRA PRADESH,Y. S. R,738,52,33,0,4161,24025,0,5183,3425,823,36794,44.65291262,0.253947547,0.746025275,0.233944829,0.275233739,MODERATE
ANDHRA PRADESH,rangareddi,1,0,0,0,0,20,0,2,6,1,28,14,0.068965517,0.896551724,0.275862069,0.193209366,LOW
ARUNACHAL PRADESH,Anjaw,23,11,3,0,128,632,0,675,496,37,1931,50.81578947,0.41563147,0.583850932,0.60610766,0.413180298,MODERATE
ARUNACHAL PRADESH,Changlang,486,304,13,0,690,4969,0,5436,2747,803,13842,17.21641791,0.442534133,0.557393629,0.591129091,0.384828823,MODERATE
ARUNACHAL PRADESH,Dibang Valley,7,3,0,0,28,132,0,313,158,10,631,57.36363636,0.539556962,0.458860759,0.745253165,0.488540329,MODERATE
ARUNACHAL PRADESH,East Kameng,88,79,14,0,292,1130,0,2690,1607,181,5719,31.42307692,0.521328671,0.478496503,0.751223776,0.458540032,MODERATE
ARUNACHAL PRADESH,East Siang,80,86,2,0,423,2080,0,2242,1079,168,5824,34.46153846,0.45751073,0.542317597,0.570128755,0.401998211,MODERATE
ARUNACHAL PRADESH,Kamle,3,25,2,0,64,254,0,57,86,30,461,14.87096774,0.261904762,0.735930736,0.30952381,0.264461965,MODERATE
ARUNACHAL PRADESH,Kra Daadi,18,59,4,0,145,369,0,717,523,81,1754,21.3902439,0.491168091,0.508262108,0.706552707,0.429360524,MODERATE
ARUNACHAL PRADESH,Kurung Kumey,19,44,12,0,106,229,0,1299,2091,75,3725,49.01315789,0.377079979,0.622651637,0.909822866,0.466240543,MODERATE
ARUNACHAL PRADESH,Leparada,0,2,1,0,8,15,0,34,2,3,59,14.75,0.7,0.283333333,0.6,0.46235855,MODERATE
ARUNACHAL PRADESH,Lohit,102,63,1,0,212,1654,0,1796,2095,166,5757,34.47305389,0.348732199,0.65109413,0.675755471,0.391553111,MODERATE
ARUNACHAL PRADESH,Longding,141,719,37,0,263,1222,0,1611,988,897,4084,4.547884187,0.45875153,0.541003672,0.63623011,0.387140721,MODERATE
ARUNACHAL PRADESH,Lower Dibang Valley,58,49,2,0,186,971,0,1373,875,109,3405,30.95454545,0.457721668,0.541984733,0.660011744,0.418320009,MODERATE
ARUNACHAL PRADESH,Lower Siang,10,18,3,0,70,269,0,359,54,31,752,23.5,0.569721116,0.428950863,0.548472776,0.420952157,MODERATE
ARUNACHAL PRADESH,Lower Subansiri,50,55,0,0,198,1323,0,1530,1150,105,4201,39.63207547,0.411232746,0.588529272,0.637791528,0.407683483,MODERATE
ARUNACHAL PRADESH,Namsai,95,54,1,0,221,1914,0,3561,2442,150,8138,53.89403974,0.46467625,0.535200885,0.737559897,0.46036242,MODERATE
ARUNACHAL PRADESH,Pakke Kessang,2,1,1,0,14,73,0,30,44,4,161,32.2,0.271604938,0.722222222,0.456790123,0.31667635,MODERATE
ARUNACHAL PRADESH,Papum Pare,201,241,5,0,770,4152,0,4835,4424,447,14181,31.65401786,0.395219292,0.604710196,0.652869835,0.398119124,MODERATE
ARUNACHAL PRADESH,Shi-yomi,8,22,5,0,43,195,0,210,319,35,767,21.30555556,0.329427083,0.669270833,0.688802083,0.375228911,MODERATE
ARUNACHAL PRADESH,Siang,39,60,4,0,175,602,0,880,429,103,2086,20.05769231,0.505510302,0.494010541,0.6272161,0.415043785,MODERATE
ARUNACHAL PRADESH,Tawang,104,43,7,0,209,742,0,1866,598,154,3415,22.03225806,0.607435597,0.392271663,0.721311475,0.469265516,MODERATE
ARUNACHAL PRADESH,Tirap,59,39,1,0,96,894,0,1371,522,99,2883,28.83,0.508668516,0.490984743,0.656380028,0.431174403,MODERATE
ARUNACHAL PRADESH,Upper Siang,21,21,1,0,199,1122,0,1235,561,43,3117,70.84090909,0.459910199,0.539769083,0.576010263,0.440217285,MODERATE
ARUNACHAL PRADESH,Upper Subansiri,76,55,12,0,347,1202,0,2462,1704,143,5715,39.6875,0.491427572,0.508397481,0.728831351,0.452584218,MODERATE
ARUNACHAL PRADESH,West Kameng,157,103,18,0,375,1484,0,2967,3205,278,8031,28.78494624,0.416085657,0.583789841,0.768426295,0.427120608,MODERATE
ARUNACHAL PRADESH,West Siang,110,80,2,0,521,3031,0,3345,1301,192,8198,42.47668394,0.471520917,0.528357117,0.56665447,0.413552017,MODERATE
ASSAM,Bajali,19,8,2,0,57,787,0,6,17,29,867,28.9,0.072580645,0.926267281,0.026497696,0.157696922,LOW
ASSAM,Baksa,2120,1179,400,0,1346,15666,0,11602,5853,3699,34467,9.315405405,0.375652779,0.624318208,0.506411744,0.337643632,MODERATE
ASSAM,Barpeta,10545,3306,532,0,4978,54164,0,66392,29029,14383,154563,10.74548109,0.461750472,0.538243058,0.617355917,0.39011093,MODERATE
ASSAM,Biswanath,789,464,76,0,844,10181,0,6159,3389,1329,20573,15.46842105,0.340381063,0.659570331,0.464080879,0.323539402,MODERATE
ASSAM,Bongaigaon,2324,626,225,0,3318,35806,0,24633,11975,3175,75732,23.84508816,0.369072927,0.630913868,0.483382409,0.345003267,MODERATE
ASSAM,Cachar,11474,4513,1527,0,5078,52941,0,42167,23978,17514,124164,7.08900942,0.380501752,0.619490194,0.53271856,0.3427144,MODERATE
ASSAM,Charaideo,659,336,194,0,763,9150,0,6096,2197,1189,18206,15.29915966,0.376723238,0.623221838,0.455484154,0.332731353,MODERATE
ASSAM,Chirang,2013,1071,264,0,1175,12222,0,18078,9009,3348,40484,12.08838459,0.475558849,0.524416451,0.669062616,0.407086404,MODERATE
ASSAM,Darrang,4390,1914,1291,0,3187,25132,0,16240,10025,7595,54584,7.185887309,0.355903637,0.644078043,0.481176147,0.323864514,MODERATE
ASSAM,Dhemaji,3864,1846,1191,0,1927,20422,0,12494,8236,6901,43079,6.241524196,0.334749304,0.665227484,0.481197772,0.316380179,MODERATE
ASSAM,Dhubri,8432,3849,365,0,7185,73614,0,40373,19102,12646,140274,11.09148415,0.33903404,0.660958831,0.423988594,0.309958214,MODERATE
ASSAM,Dibrugarh,3895,1675,1492,0,1874,24645,0,14970,11765,7062,53254,7.539855585,0.31628955,0.683691672,0.50201859,0.316534642,MODERATE
ASSAM,Dima Hasao,119,103,28,0,16,264,0,11,14,250,305,1.215139442,0.088235294,0.908496732,0.081699346,0.146917519,LOW
ASSAM,Goalpara,6881,2220,797,0,4325,36242,0,17021,10603,9898,68191,6.888675624,0.313027921,0.686957414,0.405091506,0.293570605,MODERATE
ASSAM,Golaghat,5537,4047,1921,0,1998,25926,0,12369,7785,11505,48078,4.178515557,0.298820691,0.70115851,0.419185091,0.289573146,MODERATE
ASSAM,Hailakandi,3826,1441,311,0,2253,19049,0,14201,6922,5578,42425,7.604409392,0.387828219,0.612148211,0.497878659,0.337835187,MODERATE
ASSAM,Hojai,5288,1607,155,0,2371,22937,0,15271,13731,7050,54310,7.702453553,0.324832907,0.675148681,0.533998637,0.326371251,MODERATE
ASSAM,Jorhat,2905,1122,860,0,1266,18522,0,10704,5575,4887,36067,7.378682488,0.331873129,0.668099146,0.45134191,0.310057824,MODERATE
ASSAM,Kamrup,9311,3370,985,0,3266,41318,0,30056,13196,13666,87836,6.426867637,0.379361772,0.620626843,0.492412081,0.332842022,MODERATE
ASSAM,Kamrup Metro,2654,2055,1337,0,2308,23883,0,14584,12178,6046,52953,8.75690425,0.318993844,0.680987272,0.50538203,0.319322177,MODERATE
ASSAM,Karbi Anglong,2918,4107,1082,0,2438,28683,0,25507,13699,8107,70327,8.673778984,0.397352406,0.602633375,0.557473552,0.354948978,MODERATE
ASSAM,Karimganj,9336,4903,594,0,4135,37279,0,24232,11414,14833,77060,5.194822705,0.368110977,0.631876046,0.462568614,0.321572666,MODERATE
ASSAM,Kokrajhar,2519,1572,518,0,1928,20741,0,18300,10559,4609,51528,11.17744035,0.392555648,0.607424945,0.560053562,0.356521832,MODERATE
ASSAM,Lakhimpur,4726,1825,648,0,2993,32419,0,17189,12583,7199,65184,9.053333333,0.309611107,0.690373552,0.456730843,0.306018154,MODERATE
ASSAM,Majuli,347,157,11,0,290,2991,0,2139,1243,515,6663,12.9127907,0.364495798,0.635354142,0.507503001,0.337996843,MODERATE
ASSAM,Marigaon,6735,2928,824,0,4499,39311,0,19361,14575,10487,77746,7.412852784,0.30689287,0.693094267,0.436492726,0.299095778,MODERATE
ASSAM,Nagaon,9002,3478,393,0,7120,90257,0,44214,73665,12873,215256,16.72021128,0.238477727,0.761517628,0.547619822,0.311606055,MODERATE
ASSAM,Nalbari,2709,977,195,0,2083,18878,0,14657,5594,3881,41212,10.61617723,0.406182515,0.593793221,0.491374081,0.345084146,MODERATE
ASSAM,North Cachar Hills,501,420,137,0,300,3299,0,2782,1242,1058,7623,7.198300283,0.404249738,0.595619098,0.527806925,0.349082923,MODERATE
ASSAM,Sibsagar,1561,514,662,0,1031,12039,0,8287,3093,2737,24450,8.929875822,0.381088708,0.618870394,0.465420637,0.329930892,MODERATE
ASSAM,Sivasagar,204,113,105,0,0,0,0,0,0,422,0,0,0,0,0,0,LOW
ASSAM,Sonitpur,5501,2723,973,0,3162,40414,0,17454,12663,9197,73693,8.011850402,0.279751404,0.720235026,0.408676419,0.285174648,MODERATE
ASSAM,South Salmara Mankachar,1062,364,46,0,1188,19859,0,2855,1993,1472,25895,17.57976918,0.156124498,0.843836886,0.18721038,0.207736909,LOW
ASSAM,Sribhumi,115,43,11,0,192,4895,0,42,315,169,5444,32.02352941,0.042975207,0.956841139,0.065564738,0.160325105,LOW
ASSAM,Tamulpur District,22,33,0,0,54,1214,0,17,53,55,1338,23.89285714,0.053024645,0.946228529,0.052277819,0.152368462,LOW
ASSAM,Tinsukia,3884,2867,1633,0,2000,33249,0,12082,7167,8384,54498,6.499463327,0.258390062,0.741591589,0.353199141,0.264861118,MODERATE
ASSAM,Udalguri,2658,1322,585,0,1380,18400,0,12995,9353,4565,42128,9.226456417,0.341213891,0.658762373,0.53046595,0.332181774,MODERATE
ASSAM,West Karbi Anglong,390,987,507,0,152,1299,0,1084,2308,1884,4843,2.569230769,0.255161024,0.744632535,0.700247729,0.336221026,MODERATE
BIHAR,Araria,9939,5515,125,0,9001,146314,0,72533,82911,15579,310759,19.94602054,0.262369674,0.737627108,0.500205947,0.311789748,MODERATE
BIHAR,Arwal,812,3020,34,0,2232,25538,0,12094,18610,3866,58474,15.12128265,0.244993587,0.754989312,0.525079094,0.307076032,MODERATE
BIHAR,Aurangabad,3001,7096,73,0,10545,95295,0,46556,49874,10170,202270,19.88693344,0.282299489,0.717695567,0.476736655,0.312741542,MODERATE
BIHAR,Aurangabad(BH),5,3,0,0,2,22,0,1,9,8,34,3.777777778,0.085714286,0.885714286,0.285714286,0.190984445,LOW
BIHAR,Aurangabad(bh),44,61,0,0,24,646,0,34,188,105,892,8.41509434,0.064949608,0.933930571,0.248600224,0.183777968,LOW
BIHAR,Banka,6198,4797,79,0,7434,90686,0,49854,48373,11074,196347,17.72884876,0.291767678,0.708227229,0.500269929,0.318698478,MODERATE
BIHAR,Begusarai,8106,5045,58,0,13270,119720,0,72549,74659,13209,280198,21.21105223,0.306278752,0.693717679,0.52536947,0.33217328,MODERATE
BIHAR,Bhabua,14,17,0,0,5,127,0,4,29,31,165,5.15625,0.054216867,0.939759036,0.198795181,0.165770259,LOW
BIHAR,Bhagalpur,10456,10229,377,0,15385,139641,0,72409,75905,21062,303340,14.40155723,0.289423454,0.710573249,0.488934895,0.312170501,MODERATE
BIHAR,Bhojpur,3136,10115,106,0,10707,131634,0,39485,57511,13357,239337,17.91712831,0.209711788,0.790284033,0.405267864,0.272599542,MODERATE
BIHAR,Buxar,2528,4648,64,0,7052,66850,0,24831,32197,7240,130930,18.08175666,0.24350994,0.756482422,0.43555766,0.289884577,MODERATE
BIHAR,Darbhanga,10017,5677,71,0,12315,141613,0,93323,117057,15765,364308,23.10719269,0.289968131,0.710029124,0.577476812,0.34046503,MODERATE
BIHAR,East Champaran,10147,18371,805,0,18227,229801,0,95935,116199,29323,460162,15.69233392,0.248090351,0.751907476,0.460997516,0.294517849,MODERATE
BIHAR,Gaya,6722,20244,435,0,19945,175229,0,85898,99274,27401,380346,13.88022772,0.278280097,0.721717274,0.486850166,0.307743815,MODERATE
BIHAR,Gopalganj,5303,9649,196,0,8025,97842,0,46818,56666,15148,209351,13.81946003,0.261965494,0.73802973,0.49430624,0.304271495,MODERATE
BIHAR,Jamui,5193,5029,160,0,5423,61497,0,46558,35599,10382,149077,14.3577964,0.34868324,0.651310052,0.551100766,0.344137654,MODERATE
BIHAR,Jehanabad,915,3827,141,0,4393,41968,0,15681,21749,4883,83791,17.15622441,0.23956941,0.760418656,0.446701356,0.29019295,MODERATE
BIHAR,Kaimur (Bhabua),3033,4707,85,0,5463,61555,0,37550,40607,7825,145175,18.550345,0.296281755,0.703711357,0.538360335,0.329286306,MODERATE
BIHAR,Katihar,11332,4903,115,0,11847,168447,0,98243,119037,16350,397574,24.31496545,0.276903729,0.723093756,0.546513236,0.330815858,MODERATE
BIHAR,Khagaria,4348,3779,69,0,7370,68254,0,39283,40621,8196,155528,18.97377089,0.299963351,0.700030219,0.513756277,0.325438884,MODERATE
BIHAR,Kishanganj,6957,1782,25,0,6372,138769,0,57815,83464,8764,286420,32.67769538,0.224100188,0.77589632,0.49325643,0.311082974,MODERATE
BIHAR,Lakhisarai,2664,3423,68,0,4081,44802,0,22610,26887,6155,98380,15.9811566,0.271302386,0.72868745,0.503115439,0.311248859,MODERATE
BIHAR,Madhepura,4571,4417,39,0,6595,85266,0,51666,65571,9027,209098,23.1610545,0.278628783,0.721366434,0.560677,0.333315017,MODERATE
BIHAR,Madhubani,12598,12534,798,0,13587,168104,0,110514,127621,25930,419826,16.19011993,0.295600331,0.704397287,0.567221737,0.333071717,MODERATE
BIHAR,Monghyr,29,20,0,0,2,280,0,5,94,49,381,7.62,0.018324607,0.979057592,0.259162304,0.170723568,LOW
BIHAR,Munger,2445,3534,108,0,4129,51818,0,21620,28851,6087,106418,17.47996058,0.241958673,0.75803193,0.474266813,0.297314511,MODERATE
BIHAR,Muzaffarpur,14087,14103,665,0,15939,190978,0,93075,115469,28855,415461,14.39773357,0.262392228,0.737605365,0.501956858,0.306661018,MODERATE
BIHAR,Nalanda,3676,10763,136,0,11812,141231,0,51140,66262,14575,270445,18.55413008,0.232771052,0.76722525,0.434105145,0.28671117,MODERATE
BIHAR,Nawada,2742,12380,291,0,6895,79623,0,38447,47798,15413,172763,11.20818736,0.262450511,0.737543701,0.499207011,0.302900564,MODERATE
BIHAR,Pashchim Champaran,5060,10737,562,0,23,1097,0,40,313,16359,1473,0.090036675,0.042740841,0.956580733,0.239484396,0.166659577,LOW
BIHAR,Patna,6745,17151,748,0,20931,222841,0,93322,115692,24644,452786,18.37232704,0.252332775,0.747665017,0.46161661,0.29863396,MODERATE
BIHAR,Purba Champaran,61,66,0,0,19,915,0,27,237,127,1198,9.359375,0.038365304,0.960800667,0.220183486,0.170269768,LOW
BIHAR,Purbi Champaran,4000,10071,800,0,0,0,0,0,0,14871,0,0,0,0,0,0,LOW
BIHAR,Purnea,169,88,0,0,102,2704,0,1027,3927,257,7760,30.07751938,0.145470944,0.854400206,0.638319804,0.316029398,MODERATE
BIHAR,Purnia,12195,7721,184,0,9447,133927,0,106033,122518,20100,371925,18.50281081,0.310491872,0.689505439,0.614506649,0.350377275,MODERATE
BIHAR,Rohtas,2741,5120,78,0,10462,107283,0,50054,61656,7939,229455,28.89861461,0.263736838,0.736258803,0.486847152,0.318184364,MODERATE
BIHAR,Saharsa,6281,6577,205,0,6443,74734,0,42412,77454,13063,201043,15.38908451,0.243006506,0.75698852,0.596217743,0.322366461,MODERATE
BIHAR,Samastipur,11289,7787,131,0,15445,186847,0,93161,107004,19207,402457,20.95257185,0.26985673,0.730140785,0.497356246,0.314482769,MODERATE
BIHAR,Samstipur,41,41,0,0,10,438,0,13,182,82,643,7.746987952,0.035714286,0.962732919,0.302795031,0.185932178,LOW
BIHAR,Saran,7592,16407,219,0,14788,155057,0,63026,85477,24218,318348,13.14455593,0.244429855,0.755567004,0.466478613,0.292054308,MODERATE
BIHAR,Sheikhpura,1244,1934,21,0,2326,25762,0,16884,23539,3199,68511,21.4096875,0.280388837,0.719596567,0.590013428,0.338565064,MODERATE
BIHAR,Sheikpura,11,18,0,0,1,177,0,5,128,29,311,10.36666667,0.019230769,0.977564103,0.426282051,0.210414643,LOW
BIHAR,Sheohar,2067,1184,11,0,2482,28998,0,12986,19696,3262,64162,19.66349985,0.241073516,0.758910899,0.509358976,0.306926594,MODERATE
BIHAR,Sitamarhi,20679,18856,2697,0,12645,157203,0,84925,97075,42232,351848,8.331115478,0.277306458,0.7226907,0.51726735,0.308607261,MODERATE
BIHAR,Siwan,6149,9025,137,0,10600,113122,0,52907,72897,15311,249526,16.29610763,0.254509532,0.74548646,0.504169889,0.306595947,MODERATE
BIHAR,Supaul,5691,4563,157,0,6449,100462,0,47023,65347,10411,219281,21.06041106,0.243850384,0.756145055,0.512445162,0.30985574,MODERATE
BIHAR,Vaishali,8257,9698,52,0,12462,143132,0,72298,95862,18007,323754,17.97834296,0.261802907,0.738194005,0.519405106,0.313876826,MODERATE
BIHAR,West Champaran,11585,18070,783,0,17311,216078,0,75467,91350,30438,400206,13.1478038,0.231825031,0.768172471,0.416826792,0.277240819,MODERATE
CHANDIGARH,Chandigarh,2473,211,36,0,13132,70204,0,49166,25296,2720,157798,57.99264976,0.394793376,0.605200286,0.471878783,0.384415375,MODERATE
CHANDIGARH,Rupnagar,3,0,0,0,1,19,0,3,11,3,34,8.5,0.114285714,0.857142857,0.4,0.229650881,LOW
CHHATTISGARH,Balod,1603,71,4,0,5704,54030,0,26841,54374,1678,140949,83.94818344,0.230897481,0.769095424,0.576197233,0.382434596,MODERATE
CHHATTISGARH,Baloda Bazar,4349,562,33,0,8282,107988,0,53691,87056,4944,257017,51.97512639,0.24112319,0.758872919,0.547615342,0.347503643,MODERATE
CHHATTISGARH,Balrampur,4593,1528,69,0,3542,56759,0,20113,32130,6190,112544,18.17864642,0.210182594,0.789808521,0.464196544,0.285958901,MODERATE
CHHATTISGARH,Bastar,4794,1808,6,0,9378,70053,0,27648,66736,6608,173815,26.29974278,0.213018364,0.786975883,0.543011,0.312243016,MODERATE
CHHATTISGARH,Bemetara,2458,302,11,0,4199,54494,0,34486,77224,2771,170403,61.47294372,0.227019319,0.772974813,0.655559729,0.376316384,MODERATE
CHHATTISGARH,Bijapur,3601,1761,1362,0,1137,11910,0,10757,17127,6724,40931,6.086394052,0.290579498,0.709396072,0.681227402,0.346522734,MODERATE
CHHATTISGARH,Bilaspur,7490,1432,19,0,12889,140452,0,67405,127632,8941,348378,38.95974055,0.230478875,0.769518255,0.559841437,0.333945434,MODERATE
CHHATTISGARH,Dakshin Bastar Dantewada,1028,172,24,0,1408,4488,0,8064,19147,1224,33107,27.02612245,0.286093995,0.7138758,0.821885949,0.396889038,MODERATE
