date,state_normalized,district_cleaned,age_0_5,age_5_17,age_18_greater
01-04-2025,BIHAR,Purnia,517,276,21
01-04-2025,BIHAR,Saran,143,174,10
01-04-2025,BIHAR,Sitamarhi,2452,1625,487
01-04-2025,BIHAR,Vaishali,270,217,10
01-04-2025,BIHAR,West Champaran,2826,3724,159
01-04-2025,CHANDIGARH,Chandigarh,86,21,10
01-04-2025,CHHATTISGARH,Bijapur,397,135,126
01-04-2025,CHHATTISGARH,Durg,336,38,10
01-04-2025,CHHATTISGARH,Raipur,299,12,11
01-04-2025,CHHATTISGARH,Sukma,267,69,45
01-04-2025,DELHI,Central Delhi,80,41,12
01-04-2025,DELHI,East Delhi,676,221,15
01-04-2025,DELHI,North West Delhi,903,349,54
01-04-2025,DELHI,Shahdara,208,98,13
01-04-2025,DELHI,South Delhi,404,137,22
01-04-2025,DELHI,South West Delhi,558,209,58
01-04-2025,DELHI,West Delhi,1249,440,183
01-04-2025,GUJARAT,Ahmedabad,77,26,19
01-04-2025,GUJARAT,Amreli,174,21,43
01-04-2025,GUJARAT,Anand,136,30,75
01-04-2025,GUJARAT,Arvalli,144,32,30
01-04-2025,GUJARAT,Banaskantha,1685,1358,1001
01-04-2025,GUJARAT,Bharuch,138,50,23
01-04-2025,GUJARAT,Bhavnagar,567,36,25
01-04-2025,GUJARAT,Botad,291,21,20
01-04-2025,GUJARAT,Chhotaudepur,242,121,119
01-04-2025,GUJARAT,Dahod,855,782,434
01-04-2025,GUJARAT,Devbhumi Dwarka,186,44,54
01-04-2025,GUJARAT,Gandhinagar,495,138,156
01-04-2025,GUJARAT,Gir Somnath,1262,265,179
01-04-2025,GUJARAT,Jamnagar,240,43,33
01-04-2025,GUJARAT,Junagadh,250,27,12
01-04-2025,GUJARAT,Kachchh,587,242,78
01-04-2025,GUJARAT,Kheda,425,80,150
01-04-2025,GUJARAT,Mahesana,433,55,65
01-04-2025,GUJARAT,Mahisagar,110,12,16
01-04-2025,GUJARAT,Morbi,818,178,175
01-04-2025,GUJARAT,Navsari,133,10,33
01-04-2025,GUJARAT,Panchmahals,574,145,183
01-04-2025,GUJARAT,Patan,800,173,225
01-04-2025,GUJARAT,Porbandar,267,38,44
01-04-2025,GUJARAT,Rajkot,1398,338,231
01-04-2025,GUJARAT,Sabarkantha,389,197,110
01-04-2025,GUJARAT,Surat,2932,976,280
01-04-2025,GUJARAT,Surendra Nagar,436,159,91
01-04-2025,GUJARAT,Tapi,68,12,13
01-04-2025,GUJARAT,The Dangs,85,13,22
01-04-2025,GUJARAT,Vadodara,788,216,180
01-04-2025,GUJARAT,Valsad,618,186,100
01-04-2025,HARYANA,Faridabad,1291,290,25
01-04-2025,HARYANA,Gurgaon,494,192,36
01-04-2025,JAMMU AND KASHMIR,Punch,142,59,10
01-04-2025,JHARKHAND,Deoghar,371,342,10
01-04-2025,JHARKHAND,Dumka,34,32,23
01-04-2025,JHARKHAND,East Singhbhum,55,54,11
01-04-2025,JHARKHAND,Godda,79,46,11
01-04-2025,JHARKHAND,Hazaribagh,169,65,14
01-04-2025,JHARKHAND,Lohardaga,187,104,17
01-04-2025,JHARKHAND,Pakur,579,372,11
01-04-2025,JHARKHAND,Ranchi,552,481,87
01-04-2025,KARNATAKA,Bengaluru,5774,1026,1047
01-04-2025,KARNATAKA,Kalaburagi,560,31,17
01-04-2025,KARNATAKA,Mysuru,456,19,10
01-04-2025,KARNATAKA,Yadgir,536,89,21
01-04-2025,MADHYA PRADESH,Alirajpur,134,105,15
01-04-2025,MADHYA PRADESH,Ashok Nagar,342,139,50
01-04-2025,MADHYA PRADESH,Barwani,497,313,10
01-04-2025,MADHYA PRADESH,Betul,193,20,10
01-04-2025,MADHYA PRADESH,Bhind,732,228,91
01-04-2025,MADHYA PRADESH,Bhopal,316,47,20
01-04-2025,MADHYA PRADESH,Burhanpur,547,155,100
01-04-2025,MADHYA PRADESH,Chhatarpur,555,255,40
01-04-2025,MADHYA PRADESH,Datia,237,55,10
01-04-2025,MADHYA PRADESH,Dewas,427,65,10
01-04-2025,MADHYA PRADESH,Dhar,396,116,107
01-04-2025,MADHYA PRADESH,Guna,633,120,31
01-04-2025,MADHYA PRADESH,Gwalior,855,370,113
01-04-2025,MADHYA PRADESH,Indore,830,205,48
01-04-2025,MADHYA PRADESH,Jabalpur,125,23,11
01-04-2025,MADHYA PRADESH,Jhabua,466,372,48
01-04-2025,MADHYA PRADESH,Katni,353,40,20
01-04-2025,MADHYA PRADESH,Khandwa,271,133,16
01-04-2025,MADHYA PRADESH,Khargone,695,188,52
01-04-2025,MADHYA PRADESH,Morena,1027,459,82
01-04-2025,MADHYA PRADESH,Panna,107,33,19
01-04-2025,MADHYA PRADESH,Raisen,410,83,22
01-04-2025,MADHYA PRADESH,Sagar,183,26,12
01-04-2025,MADHYA PRADESH,Satna,368,55,14
01-04-2025,MADHYA PRADESH,Sheopur,209,163,24
01-04-2025,MADHYA PRADESH,Shivpuri,499,259,111
01-04-2025,MADHYA PRADESH,Vidisha,670,119,42
01-04-2025,MAHARASHTRA,Ahmadnagar,71,15,10
01-04-2025,MAHARASHTRA,Aurangabad,584,154,53
01-04-2025,MAHARASHTRA,Beed,379,52,19
01-04-2025,MAHARASHTRA,Chandrapur,193,18,10
01-04-2025,MAHARASHTRA,Hingoli,913,95,136
01-04-2025,MAHARASHTRA,Jalgaon,360,53,10
01-04-2025,MAHARASHTRA,Latur,229,42,23
01-04-2025,MAHARASHTRA,Mumbai Suburban,389,109,44
01-04-2025,MAHARASHTRA,Nagpur,468,50,48
01-04-2025,MAHARASHTRA,Nanded,462,89,56
01-04-2025,MAHARASHTRA,Nandurbar,237,35,10
01-04-2025,MAHARASHTRA,Palghar,174,90,16
01-04-2025,MAHARASHTRA,Parbhani,135,10,16
01-04-2025,MAHARASHTRA,Pune,39,11,19
01-04-2025,MAHARASHTRA,Raigad,242,72,21
01-04-2025,MAHARASHTRA,Satara,192,26,18
01-04-2025,MAHARASHTRA,Solapur,548,67,45
01-04-2025,MAHARASHTRA,Thane,2371,913,150
01-04-2025,MANIPUR,Churachandpur,130,476,26
01-04-2025,MEGHALAYA,East Garo Hills,491,1124,293
01-04-2025,MEGHALAYA,East Jaintia Hills,434,765,283
01-04-2025,MEGHALAYA,East Khasi Hills,1437,4688,1673
01-04-2025,MEGHALAYA,North Garo Hills,205,1048,242
01-04-2025,MEGHALAYA,Ri Bhoi,319,1500,514
01-04-2025,MEGHALAYA,South Garo Hills,231,820,367
01-04-2025,MEGHALAYA,South West Garo Hills,991,610,174
01-04-2025,MEGHALAYA,South West Khasi Hills,241,535,212
01-04-2025,MEGHALAYA,West Garo Hills,1215,1761,727
01-04-2025,MEGHALAYA,West Jaintia Hills,712,1478,727
01-04-2025,MEGHALAYA,West Khasi Hills,896,2670,1129
01-04-2025,MIZORAM,Champhai,275,76,17
01-04-2025,NAGALAND,Chumukedima,16,57,13
01-04-2025,NAGALAND,Dimapur,249,454,80
01-04-2025,NAGALAND,Kohima,212,385,49
01-04-2025,NAGALAND,Longleng,131,226,12
01-04-2025,NAGALAND,Noklak,47,65,16
01-04-2025,NAGALAND,Peren,201,331,12
01-04-2025,NAGALAND,Phek,157,268,22
01-04-2025,NAGALAND,Tuensang,173,296,34
01-04-2025,ODISHA,Nabarangapur,182,82,12
01-04-2025,PUNJAB,Amritsar,959,209,54
01-04-2025,PUNJAB,Gurdaspur,233,36,49
01-04-2025,PUNJAB,Hoshiarpur,267,35,34
01-04-2025,PUNJAB,Kapurthala,302,65,305
01-04-2025,PUNJAB,Ludhiana,1841,734,184
01-04-2025,PUNJAB,SAS Nagar (Mohali),204,65,11
01-04-2025,PUNJAB,Sangrur,145,11,10
01-04-2025,RAJASTHAN,Ajmer,1007,196,36
01-04-2025,RAJASTHAN,Alwar,784,209,39
01-04-2025,RAJASTHAN,Baran,379,60,25
01-04-2025,RAJASTHAN,Bharatpur,240,37,10
01-04-2025,RAJASTHAN,Bikaner,552,261,16
01-04-2025,RAJASTHAN,Bundi,337,93,35
01-04-2025,RAJASTHAN,Churu,316,141,12
01-04-2025,RAJASTHAN,Dholpur,947,347,50
01-04-2025,RAJASTHAN,Dungarpur,66,83,13
01-04-2025,RAJASTHAN,Jaipur,2601,671,162
01-04-2025,RAJASTHAN,Jalor,1186,672,124
01-04-2025,RAJASTHAN,Jhalawar,112,49,12
01-04-2025,RAJASTHAN,Jodhpur,1624,565,87
01-04-2025,RAJASTHAN,Karauli,348,105,12
01-04-2025,RAJASTHAN,Kota,37,17,14
01-04-2025,RAJASTHAN,Nagaur,563,278,32
01-04-2025,RAJASTHAN,Pali,138,38,11
01-04-2025,RAJASTHAN,Sikar,251,62,22
01-04-2025,RAJASTHAN,Sirohi,349,210,67
01-04-2025,RAJASTHAN,Udaipur,70,47,15
01-04-2025,SIKKIM,South Sikkim,15,23,11
01-04-2025,SIKKIM,West Sikkim,52,65,10
01-04-2025,TAMIL NADU,Kancheepuram,229,75,24
01-04-2025,TAMIL NADU,Madurai,94,10,11
01-04-2025,TAMIL NADU,Thanjavur,35,10,11
01-04-2025,TELANGANA,Hyderabad,252,32,22
01-04-2025,TELANGANA,K.v. Rangareddy,159,25,28
01-04-2025,TELANGANA,Medchal-malkajgiri,76,25,15
01-04-2025,TRIPURA,Unakoti,19,16,15
01-04-2025,TRIPURA,West Tripura,146,65,25
01-04-2025,UTTAR PRADESH,Agra,832,568,37
01-04-2025,UTTAR PRADESH,Aligarh,1066,643,58
01-04-2025,UTTAR PRADESH,Ambedkar Nagar,159,143,10
01-04-2025,UTTAR PRADESH,Amroha,434,135,11
01-04-2025,UTTAR PRADESH,Azamgarh,231,332,26
01-04-2025,UTTAR PRADESH,Baghpat,311,224,18
01-04-2025,UTTAR PRADESH,Bahraich,1748,1784,281
01-04-2025,UTTAR PRADESH,Balrampur,429,642,32
01-04-2025,UTTAR PRADESH,Banda,458,340,43
01-04-2025,UTTAR PRADESH,Bara Banki,172,72,10
01-04-2025,UTTAR PRADESH,Bareilly,3176,1025,63
01-04-2025,UTTAR PRADESH,Basti,140,139,10
01-04-2025,UTTAR PRADESH,Budaun,480,267,13
01-04-2025,UTTAR PRADESH,Bulandshahr,612,527,49
01-04-2025,UTTAR PRADESH,Chandauli,195,192,41
01-04-2025,UTTAR PRADESH,Etah,724,354,13
01-04-2025,UTTAR PRADESH,Etawah,348,226,16
01-04-2025,UTTAR PRADESH,Fatehpur,166,136,10
01-04-2025,UTTAR PRADESH,Gautam Buddha Nagar,1192,1186,113
01-04-2025,UTTAR PRADESH,Gonda,392,260,50
01-04-2025,UTTAR PRADESH,Gorakhpur,378,727,86
01-04-2025,UTTAR PRADESH,Jalaun,221,102,26
01-04-2025,UTTAR PRADESH,Jaunpur,662,800,64
01-04-2025,UTTAR PRADESH,Kanpur Dehat,469,364,75
01-04-2025,UTTAR PRADESH,Kanpur Nagar,1405,1363,222
01-04-2025,UTTAR PRADESH,Kaushambi,133,109,25
01-04-2025,UTTAR PRADESH,Kheri,523,548,31
01-04-2025,UTTAR PRADESH,Lucknow,1235,1253,125
01-04-2025,UTTAR PRADESH,Maharajganj,873,977,79
01-04-2025,UTTAR PRADESH,Mainpuri,348,313,46
01-04-2025,UTTAR PRADESH,Meerut,1370,650,33
01-04-2025,UTTAR PRADESH,Moradabad,1519,510,15
01-04-2025,UTTAR PRADESH,Muzaffarnagar,680,308,27
01-04-2025,UTTAR PRADESH,Pilibhit,598,260,20
01-04-2025,UTTAR PRADESH,Rampur,894,333,19
01-04-2025,UTTAR PRADESH,Saharanpur,1499,533,29
01-04-2025,UTTAR PRADESH,Shahjahanpur,1402,852,63
01-04-2025,UTTAR PRADESH,Shamli,374,151,12
01-04-2025,UTTAR PRADESH,Shrawasti,207,307,11
01-04-2025,UTTAR PRADESH,Siddharthnagar,804,1006,68
01-04-2025,UTTAR PRADESH,Sitapur,1928,1053,87
01-04-2025,UTTAR PRADESH,Sultanpur,262,195,23
01-04-2025,UTTAR PRADESH,Unnao,937,547,30
01-04-2025,UTTAR PRADESH,Varanasi,527,733,81
01-04-2025,UTTARAKHAND,Dehradun,510,138,26
01-04-2025,UTTARAKHAND,Nainital,488,66,48
01-04-2025,WEST BENGAL,Alipurduar,38,63,27
01-04-2025,WEST BENGAL,Cooch Behar,297,156,32
01-04-2025,WEST BENGAL,Darjeeling,383,200,75
01-04-2025,WEST BENGAL,Jalpaiguri,194,62,36
01-04-2025,WEST BENGAL,Jhargram,40,10,12
01-04-2025,WEST BENGAL,Kolkata,21,10,23
01-04-2025,WEST BENGAL,Malda,306,80,10
01-04-2025,WEST BENGAL,Nadia,204,33,11
01-04-2025,WEST BENGAL,North 24 Parganas,126,67,39
01-04-2025,WEST BENGAL,Uttar Dinajpur,1264,333,116
01-05-2025,ASSAM,Baksa,37,25,20
01-05-2025,ASSAM,Barpeta,90,83,10
01-05-2025,ASSAM,Bongaigaon,110,41,15
01-05-2025,ASSAM,Charaideo,29,11,10
01-05-2025,ASSAM,Darrang,87,53,308
01-05-2025,ASSAM,Dhemaji,264,174,153
01-05-2025,ASSAM,Dibrugarh,140,95,149
01-05-2025,ASSAM,Goalpara,412,253,116
01-05-2025,ASSAM,Golaghat,807,826,230
01-05-2025,ASSAM,Jorhat,17,24,13
01-05-2025,ASSAM,Kamrup,813,580,264
01-05-2025,ASSAM,Kamrup Metro,67,42,53
01-05-2025,ASSAM,Karbi Anglong,446,1537,175
01-05-2025,ASSAM,Karimganj,286,282,193
01-05-2025,ASSAM,Kokrajhar,249,237,32
01-05-2025,ASSAM,Lakhimpur,404,216,127
01-05-2025,ASSAM,Marigaon,130,219,29
01-05-2025,ASSAM,Nalbari,134,75,37
01-05-2025,ASSAM,North Cachar Hills,25,39,13
01-05-2025,ASSAM,Sibsagar,95,43,87
01-05-2025,ASSAM,Sonitpur,55,160,38
01-05-2025,ASSAM,Tinsukia,213,216,171
01-05-2025,ASSAM,Udalguri,221,162,164
01-05-2025,ASSAM,West Karbi Anglong,39,216,11
01-05-2025,BIHAR,Arwal,43,156,10
01-05-2025,BIHAR,Bhagalpur,1500,1363,85
01-05-2025,BIHAR,East Champaran,1445,2871,192
01-05-2025,BIHAR,Gaya,452,1796,69
01-05-2025,BIHAR,Gopalganj,385,495,27
01-05-2025,BIHAR,Jamui,245,292,13
01-05-2025,BIHAR,Kaimur (Bhabua),273,642,22
01-05-2025,BIHAR,Katihar,270,215,10
01-05-2025,BIHAR,Madhubani,874,995,102
01-05-2025,BIHAR,Muzaffarpur,2161,2046,159
01-05-2025,BIHAR,Patna,105,347,22
01-05-2025,BIHAR,Saharsa,334,295,13
01-05-2025,BIHAR,Sitamarhi,2961,2387,348
01-05-2025,BIHAR,Siwan,269,384,12
01-05-2025,BIHAR,West Champaran,1934,2875,157
01-05-2025,CHHATTISGARH,Baloda Bazar,492,35,17
01-05-2025,CHHATTISGARH,Bijapur,275,180,155
01-05-2025,CHHATTISGARH,Sukma,178,55,19
01-05-2025,DELHI,Central Delhi,208,105,20
01-05-2025,DELHI,East Delhi,969,342,67
01-05-2025,DELHI,North West Delhi,368,251,25
01-05-2025,DELHI,Shahdara,66,47,20
01-05-2025,DELHI,South Delhi,217,88,28
01-05-2025,DELHI,South West Delhi,448,188,48
01-05-2025,DELHI,West Delhi,1411,493,172
01-05-2025,GUJARAT,Ahmedabad,756,347,97
01-05-2025,GUJARAT,Anand,111,22,10
01-05-2025,GUJARAT,Banaskantha,1146,724,178
01-05-2025,GUJARAT,Bharuch,303,69,23
01-05-2025,GUJARAT,Chhotaudepur,127,61,28
01-05-2025,GUJARAT,Dahod,710,717,653
01-05-2025,GUJARAT,Devbhumi Dwarka,167,26,23
01-05-2025,GUJARAT,Gandhinagar,251,28,16
01-05-2025,GUJARAT,Gir Somnath,181,53,26
01-05-2025,GUJARAT,Jamnagar,410,77,67
01-05-2025,GUJARAT,Kachchh,59,79,12
01-05-2025,GUJARAT,Kheda,89,18,33
01-05-2025,GUJARAT,Mahesana,178,26,13
01-05-2025,GUJARAT,Morbi,389,88,46
01-05-2025,GUJARAT,Navsari,122,21,15
01-05-2025,GUJARAT,Panchmahals,311,83,61
01-05-2025,GUJARAT,Patan,225,53,25
01-05-2025,GUJARAT,Rajkot,1375,312,221
01-05-2025,GUJARAT,Sabarkantha,90,41,11
01-05-2025,GUJARAT,Surat,1396,542,48
01-05-2025,GUJARAT,The Dangs,174,49,38
01-05-2025,GUJARAT,Vadodara,158,78,10
01-05-2025,GUJARAT,Valsad,277,101,20
01-05-2025,HARYANA,Faridabad,1358,311,32
01-05-2025,HARYANA,Gurgaon,512,143,13
01-05-2025,HARYANA,Mewat,1169,147,11
01-05-2025,JAMMU AND KASHMIR,Baramula,136,39,12
01-05-2025,JAMMU AND KASHMIR,Jammu,55,16,10
01-05-2025,KARNATAKA,Bangalore Rural,176,35,29
01-05-2025,KARNATAKA,Bengaluru,2659,1723,869
01-05-2025,KERALA,Kollam,34,12,10
01-05-2025,KERALA,Malappuram,135,121,10
01-05-2025,KERALA,Thiruvananthapuram,32,15,11
01-05-2025,MADHYA PRADESH,Alirajpur,66,42,25
01-05-2025,MADHYA PRADESH,Ashok Nagar,161,40,19
01-05-2025,MADHYA PRADESH,Barwani,2114,1005,55
01-05-2025,MADHYA PRADESH,Bhind,670,238,48
01-05-2025,MADHYA PRADESH,Burhanpur,724,179,29
01-05-2025,MADHYA PRADESH,Chhatarpur,394,313,30
01-05-2025,MADHYA PRADESH,Dewas,518,87,17
01-05-2025,MADHYA PRADESH,Gwalior,338,108,18
01-05-2025,MADHYA PRADESH,Indore,519,111,18
01-05-2025,MADHYA PRADESH,Jhabua,308,316,10
01-05-2025,MADHYA PRADESH,Khandwa,47,21,10
01-05-2025,MADHYA PRADESH,Khargone,304,131,13
01-05-2025,MADHYA PRADESH,Morena,709,313,44
01-05-2025,MADHYA PRADESH,Panna,140,71,13
01-05-2025,MADHYA PRADESH,Vidisha,209,43,15
01-05-2025,MAHARASHTRA,Beed,366,63,15
01-05-2025,MAHARASHTRA,Dhule,118,46,18
01-05-2025,MAHARASHTRA,Hingoli,246,31,34
01-05-2025,MAHARASHTRA,Jalgaon,506,92,43
01-05-2025,MAHARASHTRA,Mumbai Suburban,882,457,230
01-05-2025,MAHARASHTRA,Nagpur,243,28,22
01-05-2025,MAHARASHTRA,Nanded,383,80,39
01-05-2025,MAHARASHTRA,Nandurbar,251,134,21
01-05-2025,MAHARASHTRA,Nashik,97,14,45
01-05-2025,MAHARASHTRA,Palghar,162,155,14
01-05-2025,MAHARASHTRA,Parbhani,425,90,32
01-05-2025,MAHARASHTRA,Pune,328,97,61
01-05-2025,MAHARASHTRA,Sangli,160,45,20
01-05-2025,MAHARASHTRA,Satara,150,32,10
01-05-2025,MAHARASHTRA,Solapur,473,97,51
01-05-2025,MAHARASHTRA,Thane,1437,799,96
01-05-2025,MAHARASHTRA,Washim,198,20,10
01-05-2025,MAHARASHTRA,Yavatmal,281,72,30
01-05-2025,MANIPUR,Bishnupur,76,79,30
01-05-2025,MANIPUR,Imphal West,44,37,25
01-05-2025,MEGHALAYA,East Garo Hills,180,448,267
01-05-2025,MEGHALAYA,East Jaintia Hills,125,248,256
01-05-2025,MEGHALAYA,East Khasi Hills,768,2259,1867
01-05-2025,MEGHALAYA,North Garo Hills,65,168,91
01-05-2025,MEGHALAYA,Ri Bhoi,243,733,633
01-05-2025,MEGHALAYA,South Garo Hills,105,388,192
01-05-2025,MEGHALAYA,South West Garo Hills,392,240,167
01-05-2025,MEGHALAYA,South West Khasi Hills,135,192,200
01-05-2025,MEGHALAYA,West Garo Hills,683,994,708
01-05-2025,MEGHALAYA,West Jaintia Hills,558,909,734
01-05-2025,MEGHALAYA,West Khasi Hills,406,1103,923
01-05-2025,MIZORAM,Lawngtlai,280,62,29
01-05-2025,MIZORAM,Lunglei,136,31,16
01-05-2025,MIZORAM,Saiha,59,61,63
01-05-2025,NAGALAND,Dimapur,155,207,22
01-05-2025,NAGALAND,Peren,148,119,15
01-05-2025,PUNJAB,Amritsar,664,284,26
01-05-2025,PUNJAB,Gurdaspur,114,20,13
01-05-2025,PUNJAB,Hoshiarpur,197,48,18
01-05-2025,PUNJAB,Kapurthala,233,67,96
01-05-2025,PUNJAB,Ludhiana,876,458,49
01-05-2025,PUNJAB,Patiala,456,125,23
01-05-2025,RAJASTHAN,Alwar,610,179,10
01-05-2025,RAJASTHAN,Bikaner,421,164,20
01-05-2025,RAJASTHAN,Jaipur,120,70,10
01-05-2025,RAJASTHAN,Jodhpur,595,190,15
01-05-2025,RAJASTHAN,Sirohi,246,301,10
01-05-2025,TAMIL NADU,Coimbatore,59,19,11
01-05-2025,TAMIL NADU,Cuddalore,120,11,10
01-05-2025,TAMIL NADU,Pudukkottai,143,34,13
01-05-2025,TELANGANA,Hyderabad,736,154,21
01-05-2025,UTTAR PRADESH,Agra,1550,967,60
01-05-2025,UTTAR PRADESH,Aligarh,1564,1159,103
01-05-2025,UTTAR PRADESH,Bahraich,1485,1891,193
01-05-2025,UTTAR PRADESH,Banda,730,804,70
01-05-2025,UTTAR PRADESH,Bareilly,1306,574,49
01-05-2025,UTTAR PRADESH,Bijnor,1351,432,39
01-05-2025,UTTAR PRADESH,Budaun,222,228,11
01-05-2025,UTTAR PRADESH,Chandauli,214,191,14
01-05-2025,UTTAR PRADESH,Deoria,384,503,20
01-05-2025,UTTAR PRADESH,Etah,1092,457,48
01-05-2025,UTTAR PRADESH,Fatehpur,274,224,11
01-05-2025,UTTAR PRADESH,Gautam Buddha Nagar,867,915,52
01-05-2025,UTTAR PRADESH,Ghaziabad,882,747,37
01-05-2025,UTTAR PRADESH,Gorakhpur,129,352,41
01-05-2025,UTTAR PRADESH,Hapur,681,450,11
01-05-2025,UTTAR PRADESH,Hathras,478,319,11
01-05-2025,UTTAR PRADESH,Kanpur Nagar,835,854,57
01-05-2025,UTTAR PRADESH,Kheri,832,687,33
01-05-2025,UTTAR PRADESH,Kushinagar,170,229,10
01-05-2025,UTTAR PRADESH,Lalitpur,138,71,10
01-05-2025,UTTAR PRADESH,Lucknow,608,560,48
01-05-2025,UTTAR PRADESH,Maharajganj,500,791,40
01-05-2025,UTTAR PRADESH,Meerut,1663,1146,38
01-05-2025,UTTAR PRADESH,Moradabad,1673,793,79
01-05-2025,UTTAR PRADESH,Pilibhit,1367,640,21
01-05-2025,UTTAR PRADESH,Prayagraj,23,45,19
01-05-2025,UTTAR PRADESH,Rampur,1304,700,27
01-05-2025,UTTAR PRADESH,Shahjahanpur,1274,987,51
01-05-2025,UTTAR PRADESH,Shrawasti,279,445,28
01-05-2025,UTTAR PRADESH,Siddharthnagar,603,1073,47
01-05-2025,UTTAR PRADESH,Sitapur,802,540,31
01-05-2025,UTTAR PRADESH,Sultanpur,209,205,10
01-05-2025,UTTAR PRADESH,Unnao,865,726,37
01-05-2025,UTTAR PRADESH,Varanasi,574,849,23
01-05-2025,UTTARAKHAND,Dehradun,477,135,12
01-05-2025,WEST BENGAL,Alipurduar,42,112,43
01-05-2025,WEST BENGAL,Birbhum,204,61,13
01-05-2025,WEST BENGAL,Cooch Behar,991,606,77
01-05-2025,WEST BENGAL,Dakshin Dinajpur,179,42,14
01-05-2025,WEST BENGAL,Darjeeling,297,223,78
01-05-2025,WEST BENGAL,Jalpaiguri,493,413,74
01-05-2025,WEST BENGAL,Kalimpong,12,39,27
01-05-2025,WEST BENGAL,Kolkata,247,222,34
01-05-2025,WEST BENGAL,Nadia,478,108,50
01-05-2025,WEST BENGAL,North 24 Parganas,494,195,37
01-05-2025,WEST BENGAL,Uttar Dinajpur,2101,1479,97
01-06-2025,ANDHRA PRADESH,Spsr Nellore,742,405,201
01-06-2025,ANDHRA PRADESH,Visakhapatanam,186,28,12
01-06-2025,ASSAM,Baksa,28,12,12
01-06-2025,ASSAM,Barpeta,699,376,104
01-06-2025,ASSAM,Bongaigaon,33,14,14
01-06-2025,ASSAM,Cachar,847,584,201
01-06-2025,ASSAM,Darrang,63,25,10
01-06-2025,ASSAM,Dhemaji,135,126,55
01-06-2025,ASSAM,Dhubri,323,198,24
01-06-2025,ASSAM,Dibrugarh,413,127,134
01-06-2025,ASSAM,Dima Hasao,33,28,10
01-06-2025,ASSAM,Goalpara,17,43,20
01-06-2025,ASSAM,Golaghat,561,502,202
01-06-2025,ASSAM,Hojai,277,76,11
01-06-2025,ASSAM,Jorhat,24,19,13
01-06-2025,ASSAM,Kamrup,133,51,23
01-06-2025,ASSAM,Kamrup Metro,55,54,65
01-06-2025,ASSAM,Karimganj,253,277,97
01-06-2025,ASSAM,Kokrajhar,155,115,17
01-06-2025,ASSAM,Lakhimpur,207,181,63
01-06-2025,ASSAM,Marigaon,412,250,118
01-06-2025,ASSAM,Nagaon,24,67,65
01-06-2025,ASSAM,Sivasagar,37,33,10
01-06-2025,ASSAM,Sonitpur,97,110,77
01-06-2025,ASSAM,West Karbi Anglong,52,133,110
01-06-2025,BIHAR,Araria,850,787,39
01-06-2025,BIHAR,Banka,397,542,36
01-06-2025,BIHAR,Bhagalpur,1407,2293,150
01-06-2025,BIHAR,Darbhanga,255,183,10
01-06-2025,BIHAR,Gaya,515,1341,37
01-06-2025,BIHAR,Gopalganj,577,1145,51
01-06-2025,BIHAR,Jamui,323,426,23
01-06-2025,BIHAR,Kaimur (Bhabua),165,536,10
01-06-2025,BIHAR,Katihar,488,463,34
01-06-2025,BIHAR,Lakhisarai,298,478,10
01-06-2025,BIHAR,Madhubani,876,1379,170
